i,t,x_tip,y_tip
360,0.104491,0.301645,0.301645
361,0.10479,0.301619,0.301619
362,0.10509,0.301593,0.301593
363,0.105389,0.301567,0.301567
364,0.105689,0.301541,0.301541
365,0.105988,0.301516,0.301516
366,0.106287,0.301491,0.301491
367,0.106587,0.301466,0.301466
368,0.106886,0.30144,0.30144
369,0.107186,0.301414,0.301414
370,0.107485,0.301389,0.301389
371,0.107784,0.301365,0.301365
372,0.108084,0.30134,0.30134
373,0.108383,0.301315,0.301315
374,0.108683,0.30129,0.30129
375,0.108982,0.301266,0.301266
376,0.109281,0.301242,0.301242
377,0.109581,0.301217,0.301217
378,0.10988,0.301193,0.301193
379,0.11018,0.301168,0.301168
380,0.110479,0.301144,0.301144
381,0.110778,0.301119,0.301119
382,0.111078,0.301094,0.301094
383,0.111377,0.30107,0.30107
384,0.111677,0.301045,0.301045
385,0.111976,0.30102,0.30102
386,0.112275,0.300994,0.300994
387,0.112575,0.300967,0.300967
388,0.112874,0.300941,0.300941
389,0.113174,0.300915,0.300915
390,0.113473,0.300889,0.300889
391,0.113772,0.300863,0.300863
392,0.114072,0.300836,0.300836
393,0.114371,0.300808,0.300808
394,0.114671,0.300781,0.300781
395,0.11497,0.300754,0.300754
396,0.115269,0.300728,0.300728
397,0.115569,0.300702,0.300702
398,0.115868,0.300676,0.300676
399,0.116168,0.30065,0.30065
400,0.116467,0.300625,0.300625
401,0.116766,0.300599,0.300599
402,0.117066,0.300574,0.300574
403,0.117365,0.300549,0.300549
404,0.117665,0.300525,0.300525
405,0.117964,0.3005,0.3005
406,0.118263,0.300475,0.300475
407,0.118563,0.300449,0.300449
408,0.118862,0.300424,0.300424
409,0.119162,0.300399,0.300399
410,0.119461,0.300374,0.300374
411,0.11976,0.300348,0.300348
412,0.12006,0.300323,0.300323
413,0.120359,0.300297,0.300297
414,0.120659,0.300271,0.300271
415,0.120958,0.300244,0.300244
416,0.121257,0.300218,0.300218
417,0.121557,0.300192,0.300192
418,0.121856,0.300166,0.300166
419,0.122156,0.300139,0.300139
420,0.122455,0.300112,0.300112
421,0.122754,0.300085,0.300085
422,0.123054,0.300058,0.300058
423,0.123353,0.300031,0.300031
424,0.123653,0.300004,0.300004
425,0.123952,0.299976,0.299976
426,0.124251,0.299949,0.299949
427,0.124551,0.299921,0.299921
428,0.12485,0.299893,0.299893
429,0.12515,0.299865,0.299865
430,0.125449,0.299837,0.299837
431,0.125749,0.29981,0.29981
432,0.126048,0.299784,0.299784
433,0.126347,0.299757,0.299757
434,0.126647,0.29973,0.29973
435,0.126946,0.299703,0.299703
436,0.127246,0.299677,0.299677
437,0.127545,0.299651,0.299651
438,0.127844,0.299625,0.299625
439,0.128144,0.299599,0.299599
440,0.128443,0.299574,0.299574
441,0.128743,0.299548,0.299548
442,0.129042,0.299522,0.299522
443,0.129341,0.299496,0.299496
444,0.129641,0.29947,0.29947
445,0.12994,0.299444,0.299444
446,0.13024,0.299418,0.299418
447,0.130539,0.299391,0.299391
448,0.130838,0.299365,0.299365
449,0.131138,0.299338,0.299338
450,0.131437,0.299311,0.299311
451,0.131737,0.299284,0.299284
452,0.132036,0.299257,0.299257
453,0.132335,0.299229,0.299229
454,0.132635,0.299202,0.299202
455,0.132934,0.299175,0.299175
456,0.133234,0.299147,0.299147
457,0.133533,0.29912,0.29912
458,0.133832,0.299091,0.299091
459,0.134132,0.299063,0.299063
460,0.134431,0.299034,0.299034
461,0.134731,0.299005,0.299005
462,0.13503,0.298977,0.298977
463,0.135329,0.298948,0.298948
464,0.135629,0.29892,0.29892
465,0.135928,0.298891,0.298891
466,0.136228,0.298862,0.298862
467,0.136527,0.298833,0.298833
468,0.136826,0.298804,0.298804
469,0.137126,0.298775,0.298775
470,0.137425,0.298747,0.298747
471,0.137725,0.298719,0.298719
472,0.138024,0.298692,0.298692
473,0.138323,0.298665,0.298665
474,0.138623,0.298637,0.298637
475,0.138922,0.298609,0.298609
476,0.139222,0.298582,0.298582
477,0.139521,0.298554,0.298554
478,0.13982,0.298527,0.298527
479,0.14012,0.2985,0.2985
480,0.140419,0.298474,0.298474
481,0.140719,0.298447,0.298447
482,0.141018,0.29842,0.29842
483,0.141317,0.298393,0.298393
484,0.141617,0.298366,0.298366
485,0.141916,0.298338,0.298338
486,0.142216,0.298311,0.298311
487,0.142515,0.298284,0.298284
488,0.142814,0.298257,0.298257
489,0.143114,0.29823,0.29823
490,0.143413,0.298203,0.298203
491,0.143713,0.298176,0.298176
492,0.144012,0.298148,0.298148
493,0.144311,0.29812,0.29812
494,0.144611,0.298092,0.298092
495,0.14491,0.298063,0.298063
496,0.14521,0.298035,0.298035
497,0.145509,0.298007,0.298007
498,0.145808,0.297978,0.297978
499,0.146108,0.297949,0.297949
500,0.146407,0.29792,0.29792
501,0.146707,0.29789,0.29789
502,0.147006,0.29786,0.29786
503,0.147305,0.29783,0.29783
504,0.147605,0.2978,0.2978
505,0.147904,0.29777,0.29777
506,0.148204,0.297741,0.297741
507,0.148503,0.297711,0.297711
508,0.148802,0.297681,0.297681
509,0.149102,0.297651,0.297651
510,0.149401,0.297621,0.297621
511,0.149701,0.297591,0.297591
512,0.15,0.297561,0.297561
513,0.150299,0.297531,0.297531
514,0.150599,0.297502,0.297502
515,0.150898,0.297472,0.297472
516,0.151198,0.297442,0.297442
517,0.151497,0.297413,0.297413
518,0.151796,0.297384,0.297384
519,0.152096,0.297354,0.297354
520,0.152395,0.297325,0.297325
521,0.152695,0.297296,0.297296
522,0.152994,0.297267,0.297267
523,0.153293,0.297238,0.297238
524,0.153593,0.297209,0.297209
525,0.153892,0.297181,0.297181
526,0.154192,0.297153,0.297153
527,0.154491,0.297125,0.297125
528,0.15479,0.297098,0.297098
529,0.15509,0.29707,0.29707
530,0.155389,0.297042,0.297042
531,0.155689,0.297014,0.297014
532,0.155988,0.296985,0.296985
533,0.156287,0.296957,0.296957
534,0.156587,0.296929,0.296929
535,0.156886,0.296901,0.296901
536,0.157186,0.296873,0.296873
537,0.157485,0.296845,0.296845
538,0.157784,0.296817,0.296817
539,0.158084,0.296788,0.296788
